image_path,xml_path,filename,species_code,species_name,experiment_id,dish_id,frame_id,sequence_id,split
C:\LONG\DL\PennisetumGlaucum\img\pg2_11_img001.jpg,C:\LONG\DL\PennisetumGlaucum\true_ann\pg2_11_img001.xml,pg2_11_img001.jpg,pg,Pennisetum glaucum,2,11,1,pg2_11,test
C:\LONG\DL\PennisetumGlaucum\img\pg2_11_img002.jpg,C:\LONG\DL\PennisetumGlaucum\true_ann\pg2_11_img002.xml,pg2_11_img002.jpg,pg,Pennisetum glaucum,2,11,2,pg2_11,test
C:\LONG\DL\PennisetumGlaucum\img\pg2_11_img003.jpg,C:\LONG\DL\PennisetumGlaucum\true_ann\pg2_11_img003.xml,pg2_11_img003.jpg,pg,Pennisetum glaucum,2,11,3,pg2_11,test
C:\LONG\DL\PennisetumGlaucum\img\pg2_11_img004.jpg,C:\LONG\DL\PennisetumGlaucum\true_ann\pg2_11_img004.xml,pg2_11_img004.jpg,pg,Pennisetum glaucum,2,11,4,pg2_11,test
C:\LONG\DL\PennisetumGlaucum\img\pg2_11_img005.jpg,C:\LONG\DL\PennisetumGlaucum\true_ann\pg2_11_img005.xml,pg2_11_img005.jpg,pg,Pennisetum glaucum,2,11,5,pg2_11,test
C:\LONG\DL\PennisetumGlaucum\img\pg2_11_img006.jpg,C:\LONG\DL\PennisetumGlaucum\true_ann\pg2_11_img006.xml,pg2_11_img006.jpg,pg,Pennisetum glaucum,2,11,6,pg2_11,test
C:\LONG\DL\PennisetumGlaucum\img\pg2_11_img007.jpg,C:\LONG\DL\PennisetumGlaucum\true_ann\pg2_11_img007.xml,pg2_11_img007.jpg,pg,Pennisetum glaucum,2,11,7,pg2_11,test
C:\LONG\DL\PennisetumGlaucum\img\pg2_11_img008.jpg,C:\LONG\DL\PennisetumGlaucum\true_ann\pg2_11_img008.xml,pg2_11_img008.jpg,pg,Pennisetum glaucum,2,11,8,pg2_11,test
C:\LONG\DL\PennisetumGlaucum\img\pg2_11_img009.jpg,C:\LONG\DL\PennisetumGlaucum\true_ann\pg2_11_img009.xml,pg2_11_img009.jpg,pg,Pennisetum glaucum,2,11,9,pg2_11,test
C:\LONG\DL\PennisetumGlaucum\img\pg2_11_img010.jpg,C:\LONG\DL\PennisetumGlaucum\true_ann\pg2_11_img010.xml,pg2_11_img010.jpg,pg,Pennisetum glaucum,2,11,10,pg2_11,test
C:\LONG\DL\PennisetumGlaucum\img\pg2_11_img011.jpg,C:\LONG\DL\PennisetumGlaucum\true_ann\pg2_11_img011.xml,pg2_11_img011.jpg,pg,Pennisetum glaucum,2,11,11,pg2_11,test
C:\LONG\DL\PennisetumGlaucum\img\pg2_11_img012.jpg,C:\LONG\DL\PennisetumGlaucum\true_ann\pg2_11_img012.xml,pg2_11_img012.jpg,pg,Pennisetum glaucum,2,11,12,pg2_11,test
C:\LONG\DL\PennisetumGlaucum\img\pg2_11_img013.jpg,C:\LONG\DL\PennisetumGlaucum\true_ann\pg2_11_img013.xml,pg2_11_img013.jpg,pg,Pennisetum glaucum,2,11,13,pg2_11,test
C:\LONG\DL\PennisetumGlaucum\img\pg2_11_img014.jpg,C:\LONG\DL\PennisetumGlaucum\true_ann\pg2_11_img014.xml,pg2_11_img014.jpg,pg,Pennisetum glaucum,2,11,14,pg2_11,test
