sequence_id,species_code,species_name,num_images,num_objects,germinated_count,non_germinated_count,germinated_ratio,split
pg1_1,pg,Pennisetum glaucum,97,970,317,653,0.3268041237113402,test
pg1_10,pg,Pennisetum glaucum,97,970,533,437,0.5494845360824743,train
pg1_11,pg,Pennisetum glaucum,97,970,565,405,0.5824742268041238,train
pg1_12,pg,Pennisetum glaucum,97,970,732,238,0.7546391752577319,train
pg1_2,pg,Pennisetum glaucum,97,970,621,349,0.6402061855670103,val
pg1_3,pg,Pennisetum glaucum,97,970,514,456,0.5298969072164949,train
pg1_4,pg,Pennisetum glaucum,97,970,475,495,0.4896907216494845,train
pg1_5,pg,Pennisetum glaucum,97,970,434,536,0.44742268041237115,train
pg1_6,pg,Pennisetum glaucum,97,970,578,392,0.5958762886597938,train
pg1_7,pg,Pennisetum glaucum,97,970,656,314,0.6762886597938145,train
pg1_8,pg,Pennisetum glaucum,97,970,428,542,0.44123711340206184,train
pg1_9,pg,Pennisetum glaucum,97,970,620,350,0.6391752577319587,val
pg2_1,pg,Pennisetum glaucum,97,970,570,400,0.5876288659793815,train
pg2_10,pg,Pennisetum glaucum,97,970,524,446,0.5402061855670103,train
pg2_11,pg,Pennisetum glaucum,97,970,637,333,0.656701030927835,test
pg2_12,pg,Pennisetum glaucum,97,970,353,617,0.36391752577319586,test
pg2_2,pg,Pennisetum glaucum,97,970,631,339,0.6505154639175258,train
pg2_3,pg,Pennisetum glaucum,97,970,630,340,0.6494845360824743,test
pg2_4,pg,Pennisetum glaucum,97,970,597,373,0.6154639175257732,train
pg2_5,pg,Pennisetum glaucum,97,970,557,413,0.5742268041237113,train
pg2_6,pg,Pennisetum glaucum,97,970,540,430,0.5567010309278351,train
pg2_7,pg,Pennisetum glaucum,97,970,532,438,0.5484536082474227,train
pg2_8,pg,Pennisetum glaucum,97,970,650,320,0.6701030927835051,train
pg2_9,pg,Pennisetum glaucum,97,970,330,640,0.3402061855670103,train
pg3_1,pg,Pennisetum glaucum,97,970,659,311,0.6793814432989691,val
pg3_10,pg,Pennisetum glaucum,97,970,530,440,0.5463917525773195,train
pg3_11,pg,Pennisetum glaucum,97,970,609,361,0.6278350515463917,train
pg3_12,pg,Pennisetum glaucum,97,970,545,425,0.5618556701030928,train
pg3_2,pg,Pennisetum glaucum,97,970,633,337,0.6525773195876289,test
pg3_3,pg,Pennisetum glaucum,97,970,237,733,0.2443298969072165,val
pg3_4,pg,Pennisetum glaucum,97,970,657,313,0.677319587628866,train
pg3_5,pg,Pennisetum glaucum,97,970,749,221,0.7721649484536083,test
pg3_7,pg,Pennisetum glaucum,97,970,553,417,0.5701030927835051,train
pg3_8,pg,Pennisetum glaucum,97,970,558,412,0.5752577319587628,train
pg3_9,pg,Pennisetum glaucum,97,970,580,390,0.5979381443298969,train
pg4_1,pg,Pennisetum glaucum,97,970,592,378,0.6103092783505155,train
pg4_10,pg,Pennisetum glaucum,97,1067,719,348,0.6738519212746017,test
pg4_11,pg,Pennisetum glaucum,97,970,645,325,0.6649484536082474,train
pg4_12,pg,Pennisetum glaucum,97,970,533,437,0.5494845360824743,train
pg4_2,pg,Pennisetum glaucum,97,970,597,373,0.6154639175257732,train
pg4_3,pg,Pennisetum glaucum,97,970,670,300,0.6907216494845361,train
pg4_4,pg,Pennisetum glaucum,97,970,647,323,0.6670103092783505,train
pg4_5,pg,Pennisetum glaucum,97,970,696,274,0.7175257731958763,train
pg4_6,pg,Pennisetum glaucum,97,970,645,325,0.6649484536082474,train
pg4_7,pg,Pennisetum glaucum,97,970,442,528,0.4556701030927835,train
pg4_8,pg,Pennisetum glaucum,97,970,617,353,0.6360824742268041,train
pg4_9,pg,Pennisetum glaucum,97,970,506,464,0.5216494845360825,train
pg5_1,pg,Pennisetum glaucum,97,970,617,353,0.6360824742268041,train
pg5_10,pg,Pennisetum glaucum,97,970,527,443,0.5432989690721649,train
pg5_11,pg,Pennisetum glaucum,97,970,525,445,0.5412371134020618,train
pg5_12,pg,Pennisetum glaucum,97,970,423,547,0.43608247422680413,train
pg5_2,pg,Pennisetum glaucum,97,970,706,264,0.7278350515463917,train
pg5_3,pg,Pennisetum glaucum,97,970,548,422,0.5649484536082474,train
pg5_5,pg,Pennisetum glaucum,97,970,621,349,0.6402061855670103,train
pg5_6,pg,Pennisetum glaucum,97,970,604,366,0.622680412371134,val
pg5_7,pg,Pennisetum glaucum,97,970,567,403,0.5845360824742268,train
pg5_8,pg,Pennisetum glaucum,97,970,617,353,0.6360824742268041,train
pg6_1,pg,Pennisetum glaucum,97,970,724,246,0.7463917525773196,train
pg6_10,pg,Pennisetum glaucum,97,970,740,230,0.7628865979381443,train
pg6_11,pg,Pennisetum glaucum,97,970,616,354,0.6350515463917525,train
pg6_12,pg,Pennisetum glaucum,97,970,657,313,0.677319587628866,train
