split,raw_label,count,total,percent
test,pg_el,4726,24090,19.618098796180988
test,pg_im,3034,24090,12.594437525944373
test,sc_el,4362,24090,18.107098381070983
test,sc_im,3238,24090,13.44126193441262
test,zm_el,2490,24090,10.336239103362391
test,zm_im,6240,24090,25.90286425902864
train,pg_el,39228,188917,20.764674433746038
train,pg_im,25180,188917,13.328604625311643
train,sc_el,32186,188917,17.037111535753795
train,sc_im,29661,188917,15.700545742310116
train,zm_el,17569,188917,9.299851257430513
train,zm_im,45093,188917,23.869212405447897
val,pg_el,4256,22926,18.564075721887814
val,pg_im,3504,22926,15.283957079298613
val,sc_el,3815,22926,16.640495507284307
val,sc_im,3785,22926,16.509639710372504
val,zm_el,1908,22926,8.322428683590683
val,zm_im,5658,22926,24.679403297566083
